ens_gene,Control_3IL_1,Control_3IL_2,Control_3IL_3,Control_3IL_4,Control_1dAPF_1,Control_1dAPF_2,Control_1dAPF_3,Control_1dAPF_4,Control_2dAPF_1,Control_2dAPF_2,Control_2dAPF_3,Control_2dAPF_4,Control_3dAPF_1,Control_3dAPF_2,Control_3dAPF_3,Control_3dAPF_4,Control_4dAPF_1,Control_4dAPF_2,Control_4dAPF_3,Control_4dAPF_4
FBgn0029094,2.965189354874725,2.092893772949384,3.3578400747288755,3.0547007887267013,4.470800017999193,3.609750275862957,4.482301709434016,4.518978802177646,3.6947856594275175,3.1323884940447195,4.002490404084739,2.8956199710329433,3.418788664902193,1.7770709070196742,2.0595426344676593,2.300668404986712,2.620735785042855,2.8663815918167,2.623777885743436,2.471203288664616
FBgn0036978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0051157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956050979546384,0.0,0.0,0.0
FBgn0030091,2.4697607971785125,3.432703840548418,2.029988385578768,2.4772157841784006,2.42783053549337,3.18841820885883,2.8279078701199234,3.165666387726941,2.3735655348761435,1.9956730793038828,2.3500581985874414,1.9110017866630433,2.4083419788989664,2.5495687640953513,1.3697571755208664,0.0,2.620735785042855,2.4579954803016952,1.195917611065015,2.819684759091683
FBgn0038968,1.0941548659087026,0.0,1.3459684640736334,0.0,2.42783053549337,0.47142825322983684,0.0,2.318095908673752,3.1320747660124124,4.2873046884493995,3.6567560364322627,3.3508279292767225,1.0546121372584065,2.2144184120099855,1.3697571755208664,2.300668404986712,0.7956050979546384,0.0,0.0,0.0
FBgn0053002,1.0941548659087026,0.0,1.3459684640736334,0.0,0.0,0.8261622518534082,1.3363458441850022,0.0,2.1968416334251497,2.1971185187861617,2.5314495537976587,1.9110017866630433,2.6748670251954714,3.7155069878738396,1.3697571755208664,2.7845646273246505,0.0,0.0,1.195917611065015,2.010794357833356
FBgn0035248,0.0,2.092893772949384,0.0,1.4994185120266184,2.611402862362418,0.8261622518534082,0.8176679960015939,2.111792611364727,1.1341651679739477,0.6759100669226896,1.6084421784993792,0.0,0.0,0.0,0.0,0.0,1.9793745788047572,1.4842985531364585,1.195917611065015,2.010794357833356
FBgn0264986,0.0,0.0,0.0,0.0,0.0,0.47142825322983684,0.8176679960015939,1.219656184569489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0051321,1.0941548659087026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0037670,1.0941548659087026,0.0,1.3459684640736334,1.4994185120266184,1.6737456224382226,1.1106600201740937,1.7170628495487912,0.0,0.0,1.134357959921195,1.9000644841437901,1.5061284696772113,1.0546121372584065,0.0,0.0,0.0,1.3054514150246386,0.9251681443015286,0.0,1.3305700326255123
